D_vals,q1_0,q1_1,q2_00,q2_01,q2_10,q2_11,fircon,seccon,ICphi,ICn,m_vals
0.001854822854392595,0.11111955687596364,0.0,0.1167780022435702,0.0011421931864446233,0.21498469925774033,1.0,0.0,1.3877787807814457e-17,0.055559778437981766,1.1102230246251565e-16,0.1
0.0017236215318028115,0.1337310946123516,0.0,0.13824919902902247,0.0011523817406293158,0.253569131561735,1.0,0.0,-6.938893903907228e-18,0.06686554730617567,1.1102230246251565e-16,0.11794871794871796
0.0016002547754418984,0.15728198406479127,0.0,0.15993412175228958,0.001163454791055396,0.2921528450671744,1.0,0.0,-2.7755575615628914e-17,0.0786409920323955,0.0,0.13589743589743591
0.001484461391897068,0.18183200216066778,0.0,0.18186607243823225,0.0011753843259331154,0.33073586376500563,1.0,0.0,2.7755575615628914e-17,0.09091600108033382,0.0,0.15384615384615385
0.0013759736371093867,0.2074461077281922,0.0,0.20408563689215478,0.0011881425989066496,0.36931821138262483,1.0,0.0,0.0,0.10372305386409625,-2.220446049250313e-16,0.1717948717948718
0.0012745184918900821,0.23419501544111326,0.0,0.22664279170762278,0.0012017021418913587,0.40789991137099024,1.0,0.0,4.163336342344337e-17,0.1170975077205566,0.0,0.18974358974358976
0.0011798189119911595,0.26215584777533174,-1.3364811474065942e-16,0.24959978759078214,0.0012160357786895615,0.4464809868909535,1.0,0.0,-7.342864231017516e-22,0.13107792388766587,1.1102230246251565e-16,0.2076923076923077
0.0010915950442921477,0.2914128776349776,-1.2301701470447059e-16,0.2730351645352306,0.0012311166394389228,0.48506146079875867,1.0,0.0,2.7754783892431973e-17,0.1457064388174889,0.0,0.22564102564102567
0.0010095654015327797,0.32205837670830145,-1.139526030946675e-16,0.2970494534953159,0.0012469181759581227,0.5236413556306465,1.0,0.0,-8.482022311849794e-22,0.1610291883541507,2.220446049250313e-16,0.2435897435897436
0.0009334479889486392,0.3541935875421341,0.0,0.3217734532138683,0.0012634141780479835,0.5622206935864986,1.0,0.0,5.551115123125783e-17,0.17709679377106702,0.0,0.26153846153846155
0.0008629613771289447,0.38792984090861327,0.0,0.3473805495699692,0.0012805787908229949,0.6007994965124551,1.0,0.0,2.7755575615628914e-17,0.19396492045430658,0.0,0.2794871794871795
0.0007978257163902798,0.4233898444471024,0.0,0.37410558506783553,0.0012983865331472888,0.6393777858824256,1.0,0.0,5.551115123125783e-17,0.21169492222355113,0.0,0.2974358974358975
0.0007377636889260504,0.46070917401382677,0.0,0.4022747366606236,0.0013168123172593305,0.6779555827784128,1.0,0.0,-2.7755575615628914e-17,0.23035458700691336,2.220446049250313e-16,0.3153846153846154
0.0006830106133850025,0.5000380059418364,0.0,0.42953020134228187,0.004724775772629863,0.7159680656410623,1.0,0.0,1.3877787807814457e-16,0.25001900297091806,2.220446049250313e-16,0.33333333333333337
0.0006320559352649382,0.541543136869815,1.5803645684661912e-16,0.46308724832214765,0.0033582678639373365,0.7547579875479188,1.0,0.0,-1.6653111976596377e-16,0.27077156843490713,0.0,0.35128205128205137
0.0005858620497719954,0.585410348419711,0.0,0.4966442953020134,0.005501987997341251,0.7929243941235731,1.0,0.0,5.551115123125783e-17,0.29270517420985565,-2.220446049250313e-16,0.36923076923076925
0.0005428012406967971,0.6318471874244127,0.0,0.5436241610738255,0.001076703789068989,0.8323241074381917,1.0,0.0,-5.551115123125783e-17,0.31592359371220646,-2.220446049250313e-16,0.38717948717948725
0.000504336570955342,0.6810862494725013,0.0,0.5906040268456376,0.0031061780966610275,0.8704957823455115,1.0,0.0,-5.551115123125783e-17,0.3405431247362505,2.220446049250313e-16,0.40512820512820513
0.0004689635259317509,0.7333890753813601,1.3121814901810195e-16,0.6577181208053691,0.0016838146426789713,0.9093613573396678,1.0,0.0,-1.1101958182872535e-16,0.36669453769067983,0.0,0.42307692307692313
0.00043697294371785266,0.7890507983669348,0.0,0.7516778523489933,0.0011277337764207251,0.9480615608235271,1.0,0.0,0.0,0.3945253991834675,0.0,0.4410256410256411
0.00040799599727509483,0.8484057162425471,0.0,0.912751677852349,0.00019801284103937444,0.9868576507081009,1.0,0.0,-5.551115123125783e-17,0.4242028581212737,-2.220446049250313e-16,0.458974358974359
0.0003905115604756267,0.881237879765236,0.03355704697986577,1.0,0.027166967889024077,0.9966228783899229,0.9079509279692104,0.0,7.112366251504909e-17,0.4238404163926852,-2.220446049250313e-16,0.476923076923077
0.0003765963814794475,0.914018528727516,0.06711409395973163,0.9328859060402684,0.07941381674108948,0.9997141219241168,0.917511397045665,0.0,-1.2836953722228372e-16,0.42345221738389194,2.220446049250313e-16,0.4948717948717949
0.0003635793835485426,0.9396021484065917,0.1074539708974108,0.9798657718120806,0.11124355212852957,0.9999984229312586,0.9501311741622125,0.0,9.71445146547012e-17,0.4160740887545904,0.0,0.5128205128205129
0.00035158837785554976,0.9664458382770236,0.1456818650010867,0.9664429530201343,0.14795502178458703,0.9999710484785116,0.9664073528432713,0.0,2.7755575615628914e-17,0.41038198663796854,0.0,0.5307692307692308
0.00034040633310472725,0.9932892108962442,0.1831652589970421,0.5973154362416108,0.18528634090093257,0.9999629973553898,0.9756146555719791,1.3877787807814457e-17,-1.3877787807814457e-17,0.40506197594960147,-4.440892098500626e-16,0.5487179487179488
0.00033139747281902025,1.0,0.23537012953073186,0.0,0.21794071769106543,0.9987809243560675,0.9338695671907269,0.0,-2.7755575615628914e-17,0.3823149352346342,-2.220446049250313e-16,0.5666666666666668
