m0,IC without masks,IC with masks,GRBT fatalities,Optimal fatalities,NRA fatalities
0.1,5.551115123125783e-17,-0.0833465318115103,0.0021240645347310526,0.002122349657550391,0.0021475185641821122
0.11794871794871795,0.0,-0.0983055217750547,0.0019910303932295253,0.0019900569401747987,0.002022113666105537
0.13589743589743591,2.1094237467877974e-15,-0.11326436267026263,0.0018646847378772516,0.0018619249131803567,0.0019039462865201079
0.15384615384615385,2.220446049250313e-16,-0.12822307197191685,0.0017448752708033135,0.0017422167123114225,0.0017926948196617689
0.1717948717948718,-5.551115123125783e-17,-0.1431816666347414,0.0016314402827038216,0.0016275394983551658,0.001688041203499958
0.18974358974358976,5.551115123125783e-17,-0.15814016309353673,0.0015242095375872658,0.001518978744305997,0.0015896720787624465
0.2076923076923077,-1.1102230246251565e-16,-0.1730985772632827,0.0014230051825474994,0.0014179431560323544,0.0014972798274234048
0.2256410256410257,-1.7763568394002505e-15,-0.18805692453924638,0.0013276426742320358,0.0013212096187110633,0.0014105634909838945
0.2435897435897436,1.1102230246251565e-16,-0.20301521979707293,0.001237931713724582,0.001231756524613281,0.0013292295703790453
0.26153846153846155,1.1102230246251565e-16,-0.21797347739289408,0.0011536771817550519,0.0011461448772470534,0.0012529927106712056
0.2794871794871795,1.1102230246251565e-16,-0.2329317111633986,0.0010746800664763296,0.0010658078206715897,0.0011815762748227864
0.2974358974358975,2.220446049250313e-16,-0.24788993442592067,0.0010007383764893908,0.0009944402919784127,0.001114712811782701
0.3153846153846154,1.1102230246251565e-16,-0.2628481599785155,0.0009316480323398162,0.0009219247950984961,0.0010521444248690476
0.33333333333333337,0.0,-0.2778064001000269,0.0008672037303304157,0.000857986165344644,0.0009936230469957377
0.35128205128205137,-3.3306690738754696e-16,-0.29276466655015354,0.0008071997731768151,0.0007968505222157701,0.0009389106296839695
0.3692307692307693,4.440892098500626e-16,-0.30772297056950637,0.0007514308627559037,0.0007401989470677125,0.000887779253035583
0.3871794871794873,0.0,-0.32268132287966833,0.0006996928509419873,0.0006878077128319738,0.0008400111639410834
0.4051282051282051,0.02171842181951722,-0.3188247029167335,0.0006510072485916635,0.0006401785880868743,0.0007953987497683943
0.4230769230769231,0.10018087879428972,-0.26651365889639034,0.0006041428226032505,0.0005954654605562968,0.0007537444546471567
0.4410256410256411,0.1836822936796092,-0.2108431055038582,0.0005609062540535513,0.0005543777030791811,0.0007148606452455135
0.458974358974359,0.2727241695556435,-0.15147868856563007,0.0005211286574699222,0.0005169491918164886,0.0006785694326487436
0.476923076923077,0.3678768432588382,-0.0880401621587188,0.0004846407148134415,0.0004823598442388167,0.000644702456607622
0.4948717948717949,0.4697917147294668,-0.020093235254159625,0.00045127320891099015,0.0004507906166282729,0.0006131006380433906
0.5128205128205129,0.44999838436828066,-0.02496360968988287,0.00043473935957194087,0.0004345805828218749,0.0005836139052884889
0.5307692307692308,0.38406281264521835,-0.05792816692019165,0.00042432169208611917,0.00042402265165420176,0.0005561008991189924
0.5487179487179488,0.322441754962145,-0.08873519236704674,0.0004141439603836234,0.00041372312914106086,0.0005304286612054737
0.5666666666666668,0.26472535251570606,-0.11758958271892817,0.0004042039967757916,0.000403547369295038,0.0005064723101818616
0.5846153846153846,0.21055409938297487,-0.14467105256992552,0.0003944996274565595,0.00039376411977329903,0.0004841147091132728
0.6025641025641026,0.15961134739400262,-0.1701378807067142,0.00038502867295483616,0.0003841153465486432,0.0004632461277389625
0.6205128205128205,0.11161711297941945,-0.19413000504568623,0.0003757889485851767,0.0003748347493521084,0.00044376390247942714
0.6384615384615385,0.06632293017555746,-0.2167715940030881,0.0003667782648965816,0.00036579646489087205,0.00042557209683023836
0.6564102564102564,0.02350755008996952,-0.23817319396819414,0.00035799442811928486,0.0003569066561369941,0.0004085811644213786
0.6743589743589744,-0.011640148768568448,-0.17443503194112475,0.00037397093697829286,0.00034835102983058884,0.0003927076167008693
0.6923076923076924,-0.0385658244872471,-0.19238566652751432,0.0003620757446747196,0.0003399516652086641,0.00037787369690594016
0.7102564102564103,-0.06549156762500674,-0.21033636853298443,0.00035077239495048373,0.00033186528161899894,0.0003640070617138652
0.7282051282051283,-0.09241738055863813,-0.2282871403343263,0.00034003337262360016,0.0003240053352516005,0.00035104047171753493
0.7461538461538462,-0.11934326535368478,-0.24623798399708363,0.00032983231379522587,0.00031631138633746126,0.0003389114916471015
0.7641025641025642,-0.14626922376444362,-0.26418890127555317,0.00032014398195077823,0.00030890106677728925,0.0003275622010576517
0.7820512820512822,-0.17319525723395834,-0.2821398936127786,0.0003109442429020416,0.000301661790183644,0.0003169389160227349
0.8,-0.20012136689401716,-0.30009096214054787,0.0003022100386714408,0.00029468799691101735,0.00030699192221336324
