m0,IC without masks,IC with masks,GRBT fatalities,Optimal fatalities,NRA fatalities
0.1,1.887379141862766e-14,-0.08834811076858973,0.0018567119353869817,0.0018555275422536149,0.0018812126573053047
0.11794871794871795,-1.6880941089425505e-13,-0.10420474316930639,0.001726148926440174,0.0017239971511965099,0.001758281454903007
0.13589743589743591,-8.248957072964913e-13,-0.12006120491022765,0.0016034643669631588,0.0016002123692201663,0.0016436242047150199
0.15384615384615385,-3.002376125493811e-12,-0.1359175141979957,0.0014883799639090318,0.0014870789702503555,0.0015367732808564687
0.1717948717948718,3.4464653353438734e-12,-0.15177368871768848,0.0013806118507607725,0.0013765624124659859,0.0014372758158174145
0.18974358974358976,2.7973179328455444e-12,-0.16762974566464928,0.0012798719596456988,0.001274598412625289,0.0013446946250804158
0.2076923076923077,1.5336620862171912e-12,-0.18348570170347656,0.0011858693537088448,0.0011811312777897792,0.0012586089310869125
0.2256410256410257,1.2945200467129325e-13,-0.1993415729922654,0.001098311511274631,0.0010939015660240776,0.001178614900738262
0.2435897435897436,1.9393375794152234e-12,-0.21519737517510706,0.0010169055543918888,0.0010097871046004113,0.001104326011368585
0.26153846153846155,-7.134293156241256e-13,-0.23105312339408124,0.00094135941547441,0.0009349384645434819,0.001035373260526286
0.2794871794871795,-1.1207701433590955e-12,-0.24690883226760896,0.0008713829368678247,0.0008638811631561073,0.0009714052349923699
0.2974358974358975,4.8760995241536875e-12,-0.2627645159050198,0.0008066888992877847,0.000799979322887946,0.0009120880542899394
0.3153846153846154,-6.421863041339293e-12,-0.27862018792827836,0.0007469939761445331,0.0007375647598833136,0.0008571052035453832
0.33333333333333337,-3.265498982329973e-12,-0.2944758614008036,0.0006920196117871165,0.0006836559044214968,0.0008061572699895065
0.35128205128205137,-1.8463008899516353e-12,-0.3103315489159688,0.0006414928226674487,0.0006318059671431109,0.0007589615966764188
0.3692307692307693,3.8189451601056135e-12,-0.3261872625371933,0.0005951469212753113,0.0005857250154376881,0.0007152518661853005
0.3871794871794873,0.04263910351402567,-0.2732844901981806,0.0005513671036006921,0.0005428658326580403,0.0006747776261876662
0.4051282051282051,0.1238911909138396,-0.21665193382241088,0.0005103335854754066,0.0005041089616662921,0.0006373037678385077
0.4230769230769231,0.2101989990216495,-0.15649553866903054,0.00047299036153095194,0.00046912282232291873,0.000602609967007658
0.4410256410256411,0.3020495451437717,-0.09247585403969572,0.00043912104922777545,0.0004369912564446279,0.0005704900974278385
0.458974358974359,0.399994474475579,-0.024208383645694553,0.00040851172590283,0.000408095393566008,0.0005407516239142384
0.476923076923077,0.2512353910782681,0.012755726706007664,0.0004537778726667958,0.00039083608979705183,0.0005132149829198769
0.4948717948717949,0.2795067338444155,0.032052028339865535,0.0004365433879714648,0.000377710306594268,0.0004877129568409371
0.5128205128205129,0.3077780961444472,0.05134834950760814,0.0004201987228379279,0.00036360137674641436,0.0004640900476837668
0.5307692307692308,0.3360494848582021,0.07064469708907373,0.0004047015326174947,0.00035249031439138343,0.0004422018549547959
0.5487179487179488,0.36432090653305416,0.08994107763163606,0.0003900110981410405,0.00034205843599287945,0.000421914461939014
0.5666666666666668,0.3628132047312296,-0.019501730503404646,0.00033142626736039625,0.0003313918063622581,0.0004031038338928601
0.5846153846153846,0.31612080536402454,-0.03910434658887585,0.00032351587230829924,0.0003233511011027379,0.0003856552310932427
0.6025641025641026,0.273332399039393,-0.05641682906132384,0.0003158155727457176,0.00031563123172013096,0.0003694626391547257
0.6205128205128205,0.23426385105184555,-0.07148326697326013,0.00030832318686083447,0.00030804799656786815,0.0003544282185496976
0.6384615384615385,0.19878157811848185,-0.08431294606016371,0.0003010365364323608,0.0003007654826971403,0.0003404617748390862
0.6564102564102564,0.16680321936384734,-0.09487752469431632,0.00029395344712285877,0.0002936257256925024,0.00032748025074100804
0.6743589743589744,0.13830064094711747,-0.10310622003119807,0.000287071748769223,0.00028676780070303935,0.0003154072408285089
0.6923076923076924,0.1133058216377294,-0.10887839464265636,0.0002803892756702881,0.00028005778570809614,0.0003041725293520696
0.7102564102564103,0.09192052495459313,-0.11201258823714455,0.0002739038668715251,0.00027361191414220366,0.00029371165142449827
0.7282051282051283,0.07433121415811139,-0.11225049820991129,0.00026761336644680404,0.0002673181756559345,0.0002839654775821084
0.7461538461538462,0.06083155074283009,-0.10923353609883879,0.00026151562377718776,0.0002612720661847063,0.0002748798215434908
0.7641025641025642,0.051856293244558094,-0.102468116920988,0.00025560849382673433,0.0002553814235222731,0.0002664050708228537
0.7820512820512822,0.04803297194460954,-0.09127328440863591,0.0002498898374152822,0.00024972304134100693,0.0002584958397160125
0.8,0.050262330802868016,-0.07469966325529565,0.00024435752148819383,0.00024422261217336565,0.00025111064406107306
