D_vals,q1_0,q1_1,q2_00,q2_01,q2_10,q2_11,fircon,seccon,ICphi,ICn,m_vals
0.0018069354680625735,0.11111955687596364,0.0,0.09939423281702106,0.0,0.2051465287450257,0.0,0.0,1.0408340855860843e-17,0.04988239627928709,-0.005677382158694733,0.1
0.001671482536037859,0.1337310946123516,0.0,0.1148223559382628,0.0,0.2564337446887035,0.0,0.0,3.122502256758253e-17,0.043629933822493805,-0.02323561348368197,0.11794871794871796
0.0015442049225986635,0.15728198406479127,0.0,0.13402937839857626,0.007233914139166811,0.2748449886995401,0.0,0.0,0.0,0.07459584142290554,-0.004045150609490067,0.13589743589743591
0.0014251699015941565,0.18183200216066778,0.0,0.14819822145636644,0.0,0.33336535136476037,0.0,0.0,6.938893903907228e-18,0.060633694008546624,-0.03028230707178725,0.15384615384615385
0.001313415577895788,0.2074461077281922,0.0,0.16782432032479586,0.0,0.3590096200376551,0.0,0.0,1.3877787807814457e-17,0.08516935984592083,-0.018553694018175193,0.1717948717948718
0.0012093603377410186,0.23419501544111326,0.0,0.18823732421647602,0.0,0.3846539868846768,0.0,0.0,-1.3877787807814457e-17,0.11079161744199773,-0.006305890278558879,0.18974358974358976
0.001114614778506225,0.26215584777533174,0.0,0.20046996795731412,0.0,0.4359421023299475,0.0,-2.7755575615628914e-17,0.0,0.10520726288702092,-0.025870661000644946,0.2076923076923077
0.0010250464833378397,0.2914128776349776,0.0,0.22149465397079063,0.0,0.46158671063077295,0.0,-2.7755575615628914e-17,0.0,0.13248086529809233,-0.01322557351939646,0.22564102564102567
0.0009459821205208786,0.32205837670830145,0.0,0.23148409729144862,0.013151965102022083,0.49972452129086525,0.0,-2.7755575615628914e-17,1.3877787807814457e-17,0.1424135987212058,-0.01861558963294485,0.2435897435897436
0.0008677494046941838,0.3541935875421341,0.0,0.25318206933039805,0.0,0.5385200021871229,0.0,0.0,0.0,0.15627698301900128,-0.020819810752065848,0.26153846153846155
0.0007974326059311317,0.38792984090861327,0.0,0.2763248173287271,0.0,0.5641649209200212,0.0,0.0,2.7755575615628914e-17,0.18686001534619112,-0.007104905108115567,0.2794871794871795
0.0007347506794112526,0.4233898444471024,0.0,0.2824654513788765,0.0,0.6154538297033272,0.0,0.0,2.7755575615628914e-17,0.18250338482521977,-0.029191537398331358,0.2974358974358975
0.0006756337304708486,0.46070917401382677,0.0,0.30672189654917503,0.0,0.6410989553851607,0.0,0.0,2.7755575615628914e-17,0.21537711057362974,-0.014977476433283732,0.3153846153846154
0.0006216792913243967,0.5000380059418364,0.0,0.3333333333333333,0.0,0.6668520548857558,0.0,0.0,2.7755575615628914e-17,0.24985895204638675,-0.0001600509245316406,0.33333333333333337
0.0005742062714012733,0.541543136869815,0.0,0.3333333333333333,0.0,0.7179396495278265,0.0,5.551115123125783e-17,5.551115123125783e-17,0.2471940101536244,-0.023577558281283162,0.35128205128205137
0.000529713044740311,0.585410348419711,0.0,0.358974358974359,0.0,0.7459027622613869,0.0,0.0,0.0,0.28103981478161677,-0.011665359428238764,0.36923076923076925
0.0004895893042844115,0.6318471874244127,0.0,0.3846153846153846,0.0,0.7760279646400771,0.0,0.0,5.551115123125783e-17,0.313340052102537,-0.0025835416096693375,0.38717948717948725
0.0004541530025350492,0.6810862494725013,0.0,0.3846153846153846,0.0,0.8200339493364076,0.0,0.0,0.0,0.3242545596906129,-0.016288565045637693,0.40512820512820513
0.00042163167721764037,0.7333890753813601,0.0,0.41025641025641024,0.0,0.8509855346547708,0.0,5.551115123125783e-17,0.0,0.358476919286455,-0.00821761840422508,0.42307692307692313
0.00039258094836435684,0.7890507983669348,0.0,0.4358974358974359,0.0,0.8835922152923008,0.0,0.0,1.1102230246251565e-16,0.3919361983545657,-0.0025892008289016832,0.4410256410256411
0.0003669035004962424,0.8484057162425471,0.0,0.4358974358974359,0.0,0.9222414744813434,0.0,0.0,0.0,0.41644665946905923,-0.00775619865221433,0.458974358974359
0.0003438549924140154,0.9118340108351137,0.0,0.4615384615384615,0.0,0.9555029708617415,0.0,0.0,1.1102230246251565e-16,0.45294004039010716,-0.0029769650274495962,0.476923076923077
0.00032348597451089395,0.979769899967253,0.0,0.48717948717948717,0.0,0.9900720956567796,0.0,0.0,-1.6653345369377348e-16,0.48943844405364356,-0.00044650592998296545,0.4948717948717949
0.0003139543327443224,1.0,0.026964006398900817,0.0,0.02564102564102564,1.0,0.9587819956062903,0.011851409657039161,-6.071532165918825e-17,0.48641220768872295,-0.00010578911182679285,0.5128205128205129
0.0003081857275714037,1.0,0.09519428994394247,0.0,0.02564102564102564,1.0,0.9820608872860102,0.011051766194752004,3.469446951953614e-17,0.41848007342508664,-0.033922781602942154,0.5307692307692308
0.0003025296458545885,1.0,0.14576090694696758,0.0,0.05128205128205128,1.0,0.9303568575192501,0.01749465085621099,4.163336342344337e-17,0.3849557424993735,-0.04216380402714259,0.5487179487179488
0.0002969861861232006,1.0,0.21726473495144472,0.0,0.02564102564102564,1.0,0.9937247095918395,0.010258943793287165,0.0,0.29623747752270413,-0.09513015500157351,0.5666666666666668
0.00029155544502108155,1.0,0.2524279401846864,0.0,0.10256410256410256,1.0,0.8589306147899577,0.02170030012794924,-2.7755575615628914e-17,0.3166590382632104,-0.057126991644446345,0.5846153846153846
0.00028623751730036195,1.0,0.3317707349832187,0.0,0.02564102564102564,1.0,0.9757650680973456,0.005260472120084014,-1.942890293094024e-16,0.18506999842210003,-0.14904463408629076,0.6025641025641026
0.0002810324958153516,1.0,0.3885057639497884,0.0,0.05128205128205128,1.0,0.919638699203466,2.7755575615628914e-17,1.1102230246251565e-16,0.15274567597021527,-0.15300144205489064,0.6205128205128205
0.0002759404715165367,1.0,0.42268759390828053,0.0,0.02564102564102564,1.0,0.992304478947925,0.0071012963090723025,-1.1102230246251565e-16,0.09175931955091832,-0.1968968834949414,0.6384615384615385
0.0002709615334446958,1.0,0.46441701157896315,0.0,0.05128205128205128,1.0,0.9688281499043306,0.008021708403566419,2.220446049250313e-16,0.06846238279547157,-0.19932911141504683,0.6564102564102564
0.0002660957687251312,1.0,0.5171862780433686,0.0,0.02564102564102564,1.0,0.9763396981417397,5.551115123125783e-17,-1.1102230246251565e-16,0.001752626504872179,-0.23965423447344336,0.6743589743589744
0.00026134326256201774,1.0,0.5271376409038834,0.0,0.1282051282051282,1.0,0.94624079564938,0.019725065185109414,-1.6653345369377348e-16,0.05113417327780856,-0.18529700627024992,0.6923076923076924
0.00025670409823286744,1.0,0.546585021799869,0.0,0.1282051282051282,1.0,0.9879218113216087,0.03234883406114647,5.551115123125783e-17,0.02081842081373586,-0.2058890682863297,0.7102564102564103
0.0002521783570831137,1.0,0.5786183771667273,0.0,0.15384615384615385,1.0,0.9843549368892365,0.03511007034462893,-5.551115123125783e-17,0.0028309602702600856,-0.20785985114637628,0.7282051282051283
0.00024776611852081546,1.0,0.6091106089076885,0.0,0.20512820512820512,1.0,0.9690117696246309,0.03787130662811122,1.6653345369377348e-16,0.0028911235928705814,-0.19255357195328515,0.7461538461538462
0.00024346746001147943,1.0,0.6558972730192202,0.0,0.28205128205128205,1.0,0.9215244744364594,0.027088361941062455,-1.1102230246251565e-16,0.010864309614359247,-0.16118705387603072,0.7641025641025642
0.0002392824570730041,1.0,0.6843932571758929,0.0,0.3333333333333333,1.0,0.9185395348984976,0.02892918613005091,5.551115123125783e-17,0.010148906011713699,-0.14765446540033977,0.7820512820512822
