D_vals,q1_0,q1_1,q2_00,q2_01,q2_10,q2_11,fircon,seccon,ICphi,ICn,m_vals
0.0021145070581115406,0.11111955687596364,0.0,0.12504435741496198,1.3880470322174578e-16,0.0,0.0,0.0,1.054796615404894e-21,0.2778288191431173,0.22226904070513553,0.1
0.0019782555654061255,0.1337310946123516,0.0,0.15441627177904307,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.3343626566466007,0.2674971093404249,0.11794871794871796
0.0018484179034236451,0.15728198406479127,0.0,0.18668377705515982,0.0,0.0,0.0,0.0,0.0,0.39324475830440203,0.3146037662720065,0.13589743589743591
0.0017249118466358508,0.18183200216066778,0.0,0.22229733218454964,0.0,0.0,0.0,0.0,0.0,0.4546245664394596,0.36370856535912577,0.15384615384615385
0.001607643710947456,0.2074461077281922,0.0,0.26180593970668153,0.0,0.0,0.0,0.0,0.0,0.518664478126697,0.41494142426260083,0.1717948717948718
0.0014965087540340523,0.23419501544111326,0.0,0.3058856518517735,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.5855412800548023,0.4684437723342457,0.18974358974358976
0.0013913916345679456,0.26215584777533174,0.0,0.3553785795606932,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.6554477784177641,0.5243698545300983,0.2076923076923077
0.0012921669263480456,0.2914128776349776,0.0,0.4113472145171826,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.7285946554800644,0.5828882166625755,0.22564102564102567
0.001198699682692212,0.32205837670830145,0.0,0.47515156812455245,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.8052125904664074,0.6441834021122568,0.2435897435897436
0.0011108460458840177,0.3541935875421341,0.0,0.5485611502158625,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.8855546897478679,0.7084578959768009,0.26153846153846155
0.0010284538960016606,0.38792984090861327,0.0,0.6339216397541386,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.9698992802587083,0.7759343598044017,0.2794871794871795
0.0009513635331029862,0.4233898444471024,0.0,0.734410173585079,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.0585531311011764,0.8468582088776251,0.2974358974358975
0.0008794083865019044,0.46070917401382677,0.0,0.8544395689584162,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.1518551819195944,0.9215005949126809,0.3153846153846154
0.0008124371541814817,0.5000380059418364,0.0,1.0,0.0,0.00032370070822744344,0.0,0.0,3.332566427677319e-17,1.2496953022626907,0.9996762992917726,0.33333333333333337
0.0007602275896408531,0.541543136869815,0.0,1.0,0.0,0.15358386388037,0.0,5.551115123125783e-17,1.0408340855860843e-16,1.1171877045545375,0.8464161361196301,0.35128205128205137
0.0007112951689002344,0.585410348419711,0.0,1.0,0.0,0.291945707101107,0.0,0.0,-2.7755575615628914e-17,1.0007594671087485,0.708054292898893,0.36923076923076925
0.0006655186291418679,0.6318471874244127,0.0,1.0,0.0,0.41748113097197437,0.0,0.0,0.0,0.8984424627402319,0.5825188690280256,0.38717948717948725
0.0006227758567201148,0.6810862494725013,0.0,1.0,0.0,0.5318948638351315,0.0,0.0,0.0,0.808648260901119,0.4681051361648685,0.40512820512820513
