D_vals,q1_0,q1_1,q2_00,q2_01,q2_10,q2_11,fircon,seccon,ICphi,ICn,m_vals
0.0018703110755307205,0.11111955687596364,0.0,0.12504435741496198,1.3880470322174578e-16,0.0,0.0,0.0,1.054796615404894e-21,0.2778288191431173,0.22226904070513553,0.1
0.0017389118632647864,0.1337310946123516,0.0,0.15441627177904307,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.3343626566466007,0.2674971093404249,0.11794871794871796
0.001614692795360777,0.15728198406479127,0.0,0.18668377705515982,0.0,0.0,0.0,0.0,0.0,0.39324475830440203,0.3146037662720065,0.13589743589743591
0.0014974885840361063,0.18183200216066778,0.0,0.22229733218454964,0.0,0.0,0.0,0.0,0.0,0.4546245664394596,0.36370856535912577,0.15384615384615385
0.0013871243671095541,0.2074461077281922,0.0,0.26180593970668153,0.0,0.0,0.0,0.0,0.0,0.518664478126697,0.41494142426260083,0.1717948717948718
0.001283416432881182,0.23419501544111326,0.0,0.3058856518517735,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.5855412800548023,0.4684437723342457,0.18974358974358976
0.001186172971481211,0.26215584777533174,0.0,0.3553785795606932,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.6554477784177641,0.5243698545300983,0.2076923076923077
0.0010951948468777015,0.2914128776349776,0.0,0.4113472145171826,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.7285946554800644,0.5828882166625755,0.22564102564102567
0.0010102763837263379,0.32205837670830145,0.0,0.47515156812455245,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.8052125904664074,0.6441834021122568,0.2435897435897436
0.0009312061633242943,0.3541935875421341,0.0,0.5485611502158625,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.8855546897478679,0.7084578959768009,0.26153846153846155
0.0008577678230887499,0.38792984090861327,0.0,0.6339216397541386,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.9698992802587083,0.7759343598044017,0.2794871794871795
0.0007897408542114126,0.4233898444471024,0.0,0.734410173585079,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.0585531311011764,0.8468582088776251,0.2974358974358975
0.0007269013924353576,0.46070917401382677,0.0,0.8544395689584162,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.1518551819195944,0.9215005949126809,0.3153846153846154
0.0006690432820962592,0.5000380059418364,0.0,1.0,0.0,0.0003236985984944457,0.0,0.0,3.332566427677319e-17,1.2496953043724237,0.9996763014015055,0.33333333333333337
0.0006252494172441564,0.541543136869815,0.0,1.0,0.0,0.1535828262772229,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1171887421576845,0.8464171737227771,0.35128205128205137
0.0005844847735341179,0.585410348419711,0.0,1.0,0.0,0.29194366849297454,0.0,0.0,-2.7755575615628914e-17,1.000761505716881,0.7080563315070254,0.36923076923076925
0.0005466160255167323,0.6318471874244127,0.0,1.0,0.0,0.4174781258486432,0.0,0.0,0.0,0.898445467863563,0.5825218741513568,0.38717948717948725
0.0005115108682473841,0.6810862494725013,0.0,1.0,0.0,0.5318909266877142,0.0,0.0,0.0,0.8086521980485363,0.4681090733122857,0.40512820512820513
0.00047903825262929546,0.7333890753813601,0.0,1.0,0.0,0.6365975121190066,0.0,5.551115123125783e-17,-5.551115123125783e-17,0.7300970255716734,0.3634024878809934,0.42307692307692313
0.0004490686095714169,0.7890507983669348,0.0,1.0,0.0,0.732782902605132,0.0,0.0,5.551115123125783e-17,0.6617424965783354,0.267217097394868,0.4410256410256411
0.000421474062771954,0.8484057162425471,0.0,1.0,0.0,0.8214467522788085,0.0,0.0,5.551115123125783e-17,0.6027561058424651,0.17855324772119152,0.458974358974359
0.0003961286300276265,0.9118340108351137,0.0,1.0,0.0,0.9034382297038757,0.0,0.0,5.551115123125783e-17,0.5524787757136811,0.09656177029612434,0.476923076923077
0.0003729084130522607,0.979769899967253,0.0,1.0,0.0,0.9794833080043754,0.0,0.0,-5.551115123125783e-17,0.5104016419792512,0.02051669199562456,0.4948717948717949
0.00036017946941119115,1.0,0.050076011883672944,0.0,0.05128205128205128,1.0,0.02982669863921136,2.0816681711721685e-17,-5.355958732078392e-17,0.49985621864143504,0.02489422458327173,0.5128205128205129
0.0003512905485102791,1.0,0.11601804086917988,0.0,0.1282051282051282,1.0,0.024280009164030922,5.551115123125783e-17,1.5352302762394743e-16,0.504685084120226,0.06269410455481572,0.5307692307692308
0.00034265851485596165,1.0,0.17764610534161673,0.0,0.20512820512820512,1.0,0.05114103290964565,5.551115123125783e-17,-1.1796119636642288e-16,0.5091985472335212,0.09802159990432968,0.5487179487179488
0.0003341733557692352,1.0,0.23537012953073178,0.0,0.3076923076923077,1.0,0.0009385563924489856,5.551115123125783e-17,-7.161155349266757e-17,0.5360506350109566,0.15373569977632262,0.5666666666666668
0.0003260490126076233,1.0,0.2895496960941991,0.0,0.38461538461538464,1.0,0.05669508726427857,2.7755575615628914e-17,2.42861286636753e-17,0.5393248216168898,0.18409966966398916,0.5846153846153846
0.00031798530924077216,1.0,0.34050154379856656,0.0,0.5128205128205128,1.0,0.007062417540834645,0.0,-8.001412032943023e-17,0.584957102473171,0.2552078743724544,0.6025641025641026
0.00031027207967238224,1.0,0.3885057639497884,0.0,0.6153846153846154,1.0,0.03166248294354572,2.7755575615628914e-17,4.5102810375396984e-17,0.6072888971551489,0.3015417791300432,0.6205128205128205
0.00030272765662851917,1.0,0.433810951642709,0.0,0.7435897435897436,1.0,0.029707748877482218,0.0,-1.214306433183765e-16,0.6484456225676658,0.36535109838902047,0.6384615384615385
