D_vals,q1,q2,m_vals
0.0021475185641821122,0.10000760118836728,0.10003199831867252,0.1
0.002022113666105537,0.11795768345294602,0.11798510640060665,0.11794871794871796
0.0019039462865201077,0.13590776571752478,0.13593786835976432,0.13589743589743591
0.0017926948196617689,0.1538578479821035,0.15389030889143326,0.15384615384615385
0.001688041203499958,0.17180793024668223,0.17184245206614604,0.1717948717948718
0.0015896720787624465,0.189758012511261,0.18979432132985294,0.18974358974358976
0.0014972798274234048,0.20770809477583974,0.2077459395040863,0.2076923076923077
0.0014105634909838945,0.2256581770404185,0.2256973287861165,0.22564102564102567
0.0013292295703790451,0.24360825930499722,0.2436485107491,0.2435897435897436
0.0012529927106712056,0.26155834156957597,0.2615995063422192,0.26153846153846155
0.0011815762748227864,0.2795084238341547,0.27955033589081496,0.2794871794871795
0.0011147128117827013,0.2974585060987335,0.2975010190965113,0.2974358974358975
0.0010521444248690478,0.31540858836331215,0.31545157503733207,0.3153846153846154
0.0009936230469957377,0.33335867062789093,0.3334020221678127,0.33333333333333337
0.0009389106296839695,0.3513087528924697,0.351352378319102,0.35128205128205137
0.000887779253035583,0.36925883515704844,0.36930266069905937,0.36923076923076925
0.0008400111639410834,0.3872089174216272,0.3872528858923448,0.38717948717948725
0.0007953987497683942,0.4051589996862059,0.4052030698605019,0.40512820512820513
0.0007537444546471567,0.42310908195078467,0.4231532279420359,0.42307692307692313
0.0007148606452455135,0.44105916421536345,0.44110337485248413,0.4410256410256411
0.0006785694326487436,0.4590092464799421,0.459053524684482,0.458974358974359
0.000644702456607622,0.4769593287445209,0.47700369090782313,0.476923076923077
0.0006131006380433906,0.49490941100909963,0.4949538863695128,0.4948717948717949
0.0005836139052884889,0.5128594932736784,0.5129041232938183,0.5128205128205129
0.0005561008991189924,0.530809575538257,0.5308544132823116,0.5307692307692308
0.0005304286612054737,0.5487596578028359,0.5488047673139101,0.5487179487179488
0.0005064723101818616,0.5667097400674147,0.5667551957449097,0.5666666666666668
0.00048411470911327267,0.5846598223319933,0.5847057083090157,0.5846153846153846
0.0004632461277389625,0.6026099045965722,0.6026563141173681,0.6025641025641026
0.0004437639024794272,0.6205599868611508,0.6206070216585634,0.6205128205128205
0.00042557209683023836,0.6385100691257296,0.6385578387986723,0.6384615384615385
0.0004085811644213786,0.6564601513903082,0.656508772781253,0.6564102564102564
0.00039270761670086925,0.6744102336548871,0.6744598302273626,0.6743589743589744
0.0003778736969059402,0.6923603159194658,0.6924110171355626,0.6923076923076924
0.0003640070617138652,0.7103103981840445,0.7103623388819246,0.7102564102564103
0.00035104047171753493,0.7282604804486233,0.7283138002200291,0.7282051282051283
0.0003389114916471015,0.746210562713202,0.7462654052809653,0.7461538461538462
0.0003275622010576517,0.7641606449777808,0.7642171575733252,0.7641025641025642
0.00031693891602273494,0.7821107272423595,0.7821690599831975,0.7820512820512822
0.00030699192221336324,0.8000608095069383,0.8001211147741577,0.8
