p,q,q1_0,q1_1,q2_10,q2_00,q2_11,q2_01,m,D_vals
0.7017027254501721,0,0.15835702619606576,0.0,0.27146918776468415,0.0,0.0,0.0,0.1,0.0018814777329091857
0.7159861279043553,0,0.1867788905404827,0.0,0.32019238378368453,0.0,0.0,0.0,0.11794871794871796,0.0017537141026014358
0.7308626151407085,0,0.2152004779099431,0.0,0.36891510498847185,0.0,0.0,0.0,0.13589743589743591,0.0016333816084739793
0.7463699349342484,0,0.2436218202930244,0.0,0.41763740621661316,0.0,0.0,0.0,0.15384615384615385,0.001520225304507605
0.7625491073126713,0,0.27204294876071783,0.0,0.4663593407326592,0.0,0.0,0.0,0.1717948717948718,0.001413985357001767
0.7794447869894224,0,0.30046389346663427,0.0,0.5150809602285159,0.0,0.0,0.0,0.18974358974358976,0.0013143982588636007
0.7971056750594916,0,0.3288846836472038,0.0,0.5638023148237808,0.0,0.0,0.0,0.2076923076923077,0.0012211980074646029
0.8155849879509166,0,0.3573053476218659,0.0,0.6125234530660589,0.0,0.0,0.0,0.22564102564102567,0.0011341172390480795
0.8349409931422763,0,0.38572591279324303,0.0,0.6612444219312739,0.0,0.0,0.0,0.2435897435897436,0.0010528883135622422
0.8552376230056435,0,0.4141464056473073,0.0,0.7099652668239554,0.0,0.0,0.0,0.26153846153846155,0.0009772443447124816
0.8765451803982982,0,0.4425668517535396,0.0,0.7586860315774967,0.0,0.0,0.0,0.2794871794871795,0.0009069201709511382
0.8989411524108494,0,0.47098727576507426,0.0,0.807406758454413,0.0,0.0,0.0,0.2974358974358975,0.0008416532640353849
0.9225111521206725,0,0.4994077014188355,0.0,0.8561274881465754,0.0,0.0,0.0,0.3153846153846154,0.0007811845726667027
0.9473500124747477,0,0.5278281515356663,0.0,0.9048482597754277,0.0,0.0,0.0,0.33333333333333337,0.0007252592995651101
0.9735630617656988,0,0.5562486480204452,0.0,0.9535691108921911,0.0,0.0,0.0,0.35128205128205137,0.0006736276111160091
1,0,0.585410348419711,0.0,1.0,0.000169244284148535,0.0,0.0,0.36923076923076925,0.000625912224576566
1,0,0.6318471874244127,0.0,1.0,0.00020872778503576932,0.0,0.0,0.38717948717948725,0.000579420080534441
1,0,0.6810862494725013,0.0,1.0,0.00026341297341148735,0.0,0.0,0.40512820512820513,0.0005367399731996676
1,0,0.7333890753813601,0.0,1.0,0.0003439315788425659,0.0,0.0,0.42307692307692313,0.0004976761210521693
1,0,0.7890507983669348,0.0,1.0,0.0004738624784230871,0.0,0.0,0.4410256410256411,0.00046203397013032957
1,0,0.8484057162425471,0.0,1.0,0.000718066706161589,0.0,0.0,0.458974358974359,0.0004296206689856443
1,0,0.9118340108351137,0.0,1.0,0.0013433614782231438,0.0,0.0,0.476923076923077,0.0004002455196135501
1,0,0.979769899967253,0.0,1.0,0.006365897970565951,0.0,0.0,0.4948717948717949,0.00037372040373822126
1,0,1.0,0.050076011883672986,1.0,1.0,1.0,0.00013996686924462796,0.5128205128205129,0.00036043659200762554
1,0,1.0,0.11601804086918,1.0,1.0,1.0,0.000152083595320833,0.5307692307692308,0.0003518939647438446
1,0,1.0,0.17764610534161682,1.0,1.0,1.0,0.00016524009171918204,0.5487179487179488,0.0003435619645044813
1,0,1.0,0.23537012953073186,1.0,1.0,1.0,0.0001795612737790879,0.5666666666666668,0.00033543864954844544
1,0,1.0,0.28954969609419917,1.0,1.0,1.0,0.0001951936472957491,0.5846153846153846,0.0003275220788288013
1,0,1.0,0.34050154379856656,1.0,1.0,1.0,0.00021231018377889998,0.6025641025641026,0.0003198103122482832
1,0,1.0,0.3885057639497885,1.0,1.0,1.0,0.00023111657923120186,0.6205128205128205,0.0003123014109128664
1,0,1.0,0.43381095164270905,1.0,1.0,1.0,0.00025185937724298837,0.6384615384615385,0.0003049934373833619
1,0,1.0,0.47663851188367273,1.0,1.0,1.0,0.00027483663813183365,0.6564102564102564,0.00029788445592498857
1,0,1.0,0.5171862780433687,1.0,1.0,1.0,0.0003004121364596702,0.6743589743589744,0.0002909725327548928
1,0,1.0,0.5556315674392285,1.0,1.0,1.0,0.0003290345276813468,0.6923076923076924,0.00028425573628757986
1,0,1.0,0.5921337736165248,1.0,1.0,1.0,0.0003612636386768151,0.7102564102564103,0.0002777321373782265
1,0,1.0,0.6268365752639545,1.0,1.0,1.0,0.00039780717529255854,0.7282051282051283,0.0002713998095638317
1,0,1.0,0.6598698263166625,1.0,1.0,1.0,0.00043957300277391696,0.7461538461538462,0.0002652568293021934
1,0,1.0,0.6913511796689077,1.0,1.0,1.0,0.00048774529335177195,0.7641025641025642,0.0002593012762086664
0,0,1.0,0.7821107272423595,1.0,1.0,0.7214761874676019,0.0,0.7820512820512822,0.0002598876326582436
0,0,1.0,0.8000608095069383,1.0,1.0,0.7501632009805299,0.0,0.8,0.0002529834049919857
