p,q,q1_0,q1_1,q2_10,q2_00,q2_11,q2_01,m0,m1,m2,D_vals
0.7075062930062729,0,0.353380606564727,0.0,0.5300709098470905,0.0,0,0.0,0.2,0.2,0.22999999999999998,0.0012253499519038764
1.0,0,0.6667173412557819,0.0,1.0,0.30035840831110266,0,0.0,0.4,0.4,0.45999999999999996,0.0005216713716068084
1.0,1,0.5000380059418363,0.0,1.0,1.0,1,0.15024962187869223,0.5,0.5,0.575,0.000431784568230397
1.0,0,1.0,0.5715045833122441,1.0,1.0,1,0.35038914072692007,0.7,0.7,0.8049999999999999,0.0002775858102623431
