D_vals,q1,q2,m_vals
0.0018812126573053043,0.10000760118836728,0.11503677077627969,0.1
0.001758281454903007,0.11795768345294602,0.13568282818645902,0.11794871794871796
0.0016436242047150199,0.13590776571752478,0.15632848197527338,0.13589743589743591
0.0015367732808564687,0.1538578479821035,0.17697375988639408,0.15384615384615385
0.0014372758158174143,0.17180793024668223,0.19761868899620705,0.1717948717948718
0.0013446946250804158,0.189758012511261,0.2182632957140019,0.18974358974358976
0.0012586089310869125,0.20770809477583974,0.2389076057821518,0.2076923076923077
0.0011786149007382621,0.2256581770404185,0.2595516442762848,0.22564102564102567
0.001104326011368585,0.24360825930499722,0.2801954356054466,0.2435897435897436
0.0010353732605262861,0.26155834156957597,0.300839003512255,0.26153846153846155
0.0009714052349923699,0.2795084238341547,0.3214823710730464,0.2794871794871795
0.0009120880542899394,0.2974585060987335,0.3421255606980144,0.2974358974358975
0.0008571052035453833,0.31540858836331215,0.3627685941313399,0.3153846153846154
0.0008061572699895065,0.33335867062789093,0.38341149245131545,0.33333333333333337
0.0007589615966764189,0.3513087528924697,0.4040542760704599,0.35128205128205137
0.0007152518661853006,0.36925883515704844,0.4246969647356278,0.36923076923076925
0.0006747776261876662,0.3872089174216272,0.44533957752811104,0.38717948717948725
0.0006373037678385077,0.4051589996862059,0.4659821328637336,0.40512820512820513
0.000602609967007658,0.42310908195078467,0.4866246484929402,0.42307692307692313
0.0005704900974278385,0.44105916421536345,0.5072671415008777,0.4410256410256411
0.0005407516239142384,0.4590092464799421,0.5279096283074715,0.458974358974359
0.0005132149829198768,0.4769593287445209,0.5485521246674945,0.476923076923077
0.0004877129568409371,0.49490941100909963,0.5691946456706317,0.4948717948717949
0.0004640900476837668,0.5128594932736784,0.5898372057415378,0.5128205128205129
0.0004422018549547959,0.530809575538257,0.6104798186398901,0.5307692307692308
0.00042191446193901396,0.5487596578028359,0.6311224974604364,0.5487179487179488
0.0004031038338928601,0.5667097400674147,0.6517652546330361,0.5666666666666668
0.0003856552310932427,0.5846598223319933,0.6724081019226993,0.5846153846153846
0.0003694626391547257,0.6026099045965722,0.6930510504296186,0.6025641025641026
0.0003544282185496976,0.6205599868611508,0.7136941105891966,0.6205128205128205
0.0003404617748390862,0.6385100691257296,0.7343372921720719,0.6384615384615385
0.00032748025074100804,0.6564601513903082,0.7549806042841363,0.6564102564102564
0.0003154072408285089,0.6744102336548871,0.7756240553665529,0.6743589743589744
0.0003041725293520696,0.6923603159194658,0.7962676531957658,0.6923076923076924
0.00029371165142449827,0.7103103981840445,0.8169114048835103,0.7102564102564103
0.0002839654775821084,0.7282604804486233,0.8375553168768171,0.7282051282051283
0.00027487982154349074,0.746210562713202,0.8581993949580144,0.7461538461538462
0.0002664050708228537,0.7641606449777808,0.8788436442447257,0.7641025641025642
0.0002584958397160125,0.7821107272423595,0.8994880691898671,0.7820512820512822
0.00025111064406107306,0.8000608095069383,0.9201326735816393,0.8
